system:index,image_date,image_index,.geo
0,2021-09-16,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2021-10-02,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2021-10-18,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2021-11-03,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2021-11-19,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2021-12-21,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2022-01-22,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2022-02-07,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2022-02-23,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2022-03-11,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2022-03-27,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2022-04-12,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2022-04-28,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2022-05-14,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2022-05-30,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2022-06-15,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2022-07-01,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2022-07-17,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2022-08-02,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2022-08-18,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2022-09-03,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2022-09-19,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2022-10-05,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2022-10-21,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2022-11-06,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2022-11-22,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2022-12-08,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2022-12-24,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2023-01-09,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2023-01-25,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
